t,theta1,omega1,theta2,omega2,E1,E2,E_total
5.875,0.3271498587,0.8658713455,-0.2219547115,-0.4048177651,0.8951687045,0.3225877307,1.223275226
5.9,0.3477682176,0.7828052517,-0.231394292,-0.3499982325,0.8936613431,0.3227096074,1.222846551
5.925,0.3662527331,0.6952531806,-0.2394384852,-0.2932423878,0.892328246,0.3228621424,1.222597222
5.95,0.3824980255,0.6037594598,-0.2460430821,-0.2348872139,0.8911807223,0.323026011,1.222483864
5.975,0.3964125142,0.5088830933,-0.2511723718,-0.1752752831,0.8902259325,0.3231817717,1.222460211
6,0.4079187416,0.4111943744,-0.2547992606,-0.1147531614,0.889466162,0.3233106695,1.222478916
6.025,0.4169536169,0.3112719172,-0.2569053535,-0.05366991,0.8888982533,0.3233953767,1.222493292
6.05,0.4234685917,0.2097000876,-0.257480998,0.007624329959,0.8885132327,0.3234206415,1.222458911
6.075,0.4274297752,0.1070667851,-0.2565252947,0.06877969291,0.8882961675,0.3233738172,1.222335
6.1,0.4288179979,0.003961512301,-0.2540460737,0.1294479055,0.888226272,0.3232452521,1.222085584
6.125,0.4276288297,-0.09902635344,-0.2500598383,0.1892835901,0.8882772746,0.3230285284,1.221680357
6.15,0.4238725565,-0.2013091754,-0.2445916766,0.2479455795,0.8884180442,0.3227205441,1.221095239
6.175,0.4175741168,-0.3023026594,-0.2376751388,0.3050982643,0.8886134624,0.3223214414,1.220312647
6.2,0.4087729972,-0.4014275377,-0.229352082,0.3604129942,0.8888255162,0.3218343907,1.219321468
6.225,0.397523084,-0.4981114262,-0.2196724767,0.4135695462,0.8890145726,0.3212652478,1.218116771
6.25,0.3838924655,-0.5917909335,-0.2086941781,0.4642576706,0.8891407896,0.320622105,1.216699298
6.275,0.3679631775,-0.681914085,-0.1964826558,0.5121787188,0.8891656057,0.3199147647,1.215074768
6.3,0.3498308838,-0.7679431043,-0.1831106832,0.5570473471,0.8890532469,0.319154165,1.213253067
6.325,0.3296044827,-0.8493575698,-0.1686579822,0.5985932894,0.8887721817,0.3183517885,1.211247349
6.35,0.3074056297,-0.9256579378,-0.1532108244,0.6365631787,0.8882964597,0.3175190875,1.209073142
6.375,0.2833681681,-0.9963693956,-0.1368615846,0.6707223953,0.8876068655,0.3166669566,1.206747477
6.4,0.2576374597,-1.061045979,-0.11970825,0.7008569114,0.8866918294,0.3158052775,1.204288113
6.425,0.2303696104,-1.119274862,-0.1018538818,0.7267750985,0.8855480445,0.3149425617,1.201712883
6.45,0.2017305869,-1.17068071,-0.08340603411,0.7483094599,0.8841807505,0.3140857063,1.199039205
6.475,0.171895226,-1.214929955,-0.06447612952,0.7653182489,0.8826036627,0.3132398731,1.196283749
6.5,0.1410461392,-1.25173485,-0.04517879711,0.7776869346,0.8808385383,0.3124084931,1.193462306
6.525,0.1093725196,-1.280857169,-0.02563117553,0.7853294764,0.8789143924,0.3115933917,1.190589803
6.55,0.07706886364,-1.302111382,-0.005952187091,0.7881893749,0.8768663941,0.3107950218,1.18768049
6.575,0.04433361967,-1.315367203,0.01373821126,0.7862404685,0.8747344896,0.3100127847,1.184748229
